"","Player","Pos.x","Age.x","Tm.x","G.x","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"875","Andrew Wiggins\wiggian01","SF",21,"MIN",82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5,6.6,0.76,1.2,2.8,4,2.3,1,0.4,2.3,2.2,23.6,"SF",21,"MIN",82,3048,16.5,0.534,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29,NA,3.3,0.9,4.2,0.066,NA,0.2,-2.9,-2.7,-0.6
"876","C.J. Wilcox\wilcocj01","SG",26,"ORL",22,0,4.9,0.4,1.4,0.258,0.1,0.7,0.2,0.2,0.7,0.313,0.306,0.1,0.1,1,0.2,0.4,0.5,0.5,0.1,0,0.3,0.4,1,"SG",26,"ORL",22,108,2.9,0.329,0.484,0.065,3.9,8.3,6.1,15.5,0.9,0.7,15.8,15.4,NA,-0.2,0,-0.2,-0.09,NA,-6.5,-2.1,-8.6,-0.2
"877","Alan Williams\willial03","C",24,"PHO",47,0,15.1,2.9,5.7,0.517,0,0,0,2.9,5.7,0.519,0.517,1.5,2.4,0.625,2,4.2,6.2,0.5,0.6,0.7,0.8,2.7,7.4,"C",24,"PHO",47,708,19.5,0.547,0.004,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,NA,1.1,0.9,2.1,0.142,NA,-1.8,0.1,-1.7,0.1
"878","Deron Williams\willide01","PG",32,"TOT",64,44,25.9,4.1,9.4,0.438,1.3,3.7,0.363,2.8,5.7,0.486,0.509,1.4,1.7,0.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11,"PG",32,"TOT",64,1657,14,0.541,0.39,0.182,0.9,9.4,5.1,35.9,1,0.4,17.6,22.1,NA,1.5,0.9,2.4,0.069,NA,0.2,-2.4,-2.3,-0.1
"879","Deron Williams\willide01","PG",32,"TOT",64,44,25.9,4.1,9.4,0.438,1.3,3.7,0.363,2.8,5.7,0.486,0.509,1.4,1.7,0.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11,"PG",32,"DAL",40,1171,15,0.533,0.4,0.185,1.2,9.3,5.1,40.1,1.1,0.2,16.7,23.7,NA,1.1,0.7,1.8,0.073,NA,1,-2.4,-1.4,0.2
"880","Deron Williams\willide01","PG",32,"TOT",64,44,25.9,4.1,9.4,0.438,1.3,3.7,0.363,2.8,5.7,0.486,0.509,1.4,1.7,0.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11,"PG",32,"CLE",24,486,11.4,0.566,0.361,0.17,0.2,9.7,5.1,25.9,0.6,1,20.2,18.1,NA,0.4,0.2,0.6,0.059,NA,-1.9,-2.6,-4.5,-0.3
"881","Deron Williams\willide01","PG",32,"DAL",40,40,29.3,4.9,11.3,0.43,1.6,4.5,0.348,3.3,6.8,0.485,0.5,1.7,2.1,0.821,0.3,2.2,2.6,6.9,0.6,0.1,2.5,2.4,13.1,"PG",32,"TOT",64,1657,14,0.541,0.39,0.182,0.9,9.4,5.1,35.9,1,0.4,17.6,22.1,NA,1.5,0.9,2.4,0.069,NA,0.2,-2.4,-2.3,-0.1
"882","Deron Williams\willide01","PG",32,"DAL",40,40,29.3,4.9,11.3,0.43,1.6,4.5,0.348,3.3,6.8,0.485,0.5,1.7,2.1,0.821,0.3,2.2,2.6,6.9,0.6,0.1,2.5,2.4,13.1,"PG",32,"DAL",40,1171,15,0.533,0.4,0.185,1.2,9.3,5.1,40.1,1.1,0.2,16.7,23.7,NA,1.1,0.7,1.8,0.073,NA,1,-2.4,-1.4,0.2
"883","Deron Williams\willide01","PG",32,"DAL",40,40,29.3,4.9,11.3,0.43,1.6,4.5,0.348,3.3,6.8,0.485,0.5,1.7,2.1,0.821,0.3,2.2,2.6,6.9,0.6,0.1,2.5,2.4,13.1,"PG",32,"CLE",24,486,11.4,0.566,0.361,0.17,0.2,9.7,5.1,25.9,0.6,1,20.2,18.1,NA,0.4,0.2,0.6,0.059,NA,-1.9,-2.6,-4.5,-0.3
"884","Deron Williams\willide01","PG",32,"CLE",24,4,20.3,2.8,6.1,0.463,0.9,2.2,0.415,1.9,3.9,0.489,0.537,0.9,1,0.84,0,1.8,1.9,3.6,0.3,0.3,1.7,1.8,7.5,"PG",32,"TOT",64,1657,14,0.541,0.39,0.182,0.9,9.4,5.1,35.9,1,0.4,17.6,22.1,NA,1.5,0.9,2.4,0.069,NA,0.2,-2.4,-2.3,-0.1
"885","Deron Williams\willide01","PG",32,"CLE",24,4,20.3,2.8,6.1,0.463,0.9,2.2,0.415,1.9,3.9,0.489,0.537,0.9,1,0.84,0,1.8,1.9,3.6,0.3,0.3,1.7,1.8,7.5,"PG",32,"DAL",40,1171,15,0.533,0.4,0.185,1.2,9.3,5.1,40.1,1.1,0.2,16.7,23.7,NA,1.1,0.7,1.8,0.073,NA,1,-2.4,-1.4,0.2
"886","Deron Williams\willide01","PG",32,"CLE",24,4,20.3,2.8,6.1,0.463,0.9,2.2,0.415,1.9,3.9,0.489,0.537,0.9,1,0.84,0,1.8,1.9,3.6,0.3,0.3,1.7,1.8,7.5,"PG",32,"CLE",24,486,11.4,0.566,0.361,0.17,0.2,9.7,5.1,25.9,0.6,1,20.2,18.1,NA,0.4,0.2,0.6,0.059,NA,-1.9,-2.6,-4.5,-0.3
"887","Derrick Williams\willide02","PF",25,"TOT",50,11,16.1,2.2,4.9,0.443,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.8,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,"PF",25,"TOT",50,804,10.6,0.537,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9,17.2,NA,0.4,0.6,1.1,0.064,NA,-2.4,-1.8,-4.2,-0.4
"888","Derrick Williams\willide02","PF",25,"TOT",50,11,16.1,2.2,4.9,0.443,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.8,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,"PF",25,"MIA",25,377,10.1,0.465,0.328,0.365,4.7,16.9,10.7,5.6,1.2,1,8.1,20.4,NA,-0.1,0.4,0.3,0.038,NA,-3.8,-1.4,-5.2,-0.3
"889","Derrick Williams\willide02","PF",25,"TOT",50,11,16.1,2.2,4.9,0.443,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.8,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,"PF",25,"CLE",25,427,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,NA,0.6,0.2,0.8,0.086,NA,-1.1,-2.1,-3.2,-0.1
"890","Derrick Williams\willide02","PF",25,"MIA",25,11,15.1,2.2,5.5,0.394,0.4,1.8,0.2,1.8,3.7,0.489,0.427,1.2,2,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9,"PF",25,"TOT",50,804,10.6,0.537,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9,17.2,NA,0.4,0.6,1.1,0.064,NA,-2.4,-1.8,-4.2,-0.4
"891","Derrick Williams\willide02","PF",25,"MIA",25,11,15.1,2.2,5.5,0.394,0.4,1.8,0.2,1.8,3.7,0.489,0.427,1.2,2,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9,"PF",25,"MIA",25,377,10.1,0.465,0.328,0.365,4.7,16.9,10.7,5.6,1.2,1,8.1,20.4,NA,-0.1,0.4,0.3,0.038,NA,-3.8,-1.4,-5.2,-0.3
"892","Derrick Williams\willide02","PF",25,"MIA",25,11,15.1,2.2,5.5,0.394,0.4,1.8,0.2,1.8,3.7,0.489,0.427,1.2,2,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9,"PF",25,"CLE",25,427,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,NA,0.6,0.2,0.8,0.086,NA,-1.1,-2.1,-3.2,-0.1
"893","Derrick Williams\willide02","PF",25,"CLE",25,0,17.1,2.2,4.3,0.505,0.8,2.1,0.404,1.3,2.2,0.6,0.603,1.1,1.6,0.692,0.1,2.2,2.3,0.6,0.2,0.1,0.6,1.1,6.2,"PF",25,"TOT",50,804,10.6,0.537,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9,17.2,NA,0.4,0.6,1.1,0.064,NA,-2.4,-1.8,-4.2,-0.4
"894","Derrick Williams\willide02","PF",25,"CLE",25,0,17.1,2.2,4.3,0.505,0.8,2.1,0.404,1.3,2.2,0.6,0.603,1.1,1.6,0.692,0.1,2.2,2.3,0.6,0.2,0.1,0.6,1.1,6.2,"PF",25,"MIA",25,377,10.1,0.465,0.328,0.365,4.7,16.9,10.7,5.6,1.2,1,8.1,20.4,NA,-0.1,0.4,0.3,0.038,NA,-3.8,-1.4,-5.2,-0.3
